Num Features,Test Accuracy mean,Test Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,AUC mean,AUC std
3,0.4769493630522649,0.03975212177009592,0.4811480597320088,0.03871087259962171,0.4989169773283254,0.045456797869245405,0.4769493630522649,0.03975212177009592,0.49817950869228306,0.03964927403761314
10,0.594681040346658,0.06128436423448728,0.5912886220763734,0.06257161054352266,0.5995282614785398,0.06945579641857258,0.5946810403466579,0.06128436423448731,0.6330014102236229,0.0832343836094133
20,0.6586303505396576,0.03134574460607516,0.6537499352710723,0.030715392372772172,0.6633178531324528,0.04401918698426485,0.6586303505396576,0.03134574460607516,0.6886245630353556,0.05220803097893255
30,0.7077188129492407,0.03372628601319304,0.7065723521022365,0.03354864704162165,0.715514488784229,0.04217472764461382,0.7077188129492407,0.03372628601319304,0.7901435250835009,0.048472286074840935
40,0.6995428249110504,0.03131156402304151,0.6997149356274746,0.03244043945835089,0.7186649387661052,0.036352558031325026,0.6995428249110504,0.03131156402304151,0.7765428007374009,0.015415803385081051
50,0.7090611481016413,0.042483711410673905,0.7111870007362051,0.042214390518728585,0.7218274690432807,0.04268781156149762,0.7090611481016413,0.042483711410673905,0.7775086294251432,0.04158919927347963
60,0.7182265775777217,0.040028670239641004,0.717119120673716,0.042182556851392605,0.7284231395872713,0.04599002410919508,0.7182265775777217,0.040028670239641004,0.7925900527406563,0.029180213561894697
70,0.766633230495849,0.03933609837476817,0.7670563046547813,0.040996577146167335,0.7790623046174272,0.04047152004814017,0.766633230495849,0.03933609837476817,0.8439481990967586,0.0362173855798929
80,0.7707798755333444,0.0389893877957213,0.7706574730138425,0.03921460822591867,0.7853710254253828,0.03590392591598719,0.7707798755333444,0.0389893877957213,0.8475404954410657,0.03592919332736896
90,0.770450881517632,0.03867237947896333,0.7706350737357249,0.038736012412624185,0.7850325867951851,0.0361626451498954,0.770450881517632,0.03867237947896333,0.8516033832168126,0.03509776364686384
100,0.7720778028104422,0.05985212609099419,0.7717173678092424,0.06055531536003731,0.786675120081918,0.0550473999788259,0.7720778028104422,0.05985212609099419,0.8544328267678989,0.03288506971676134
110,0.7935212006457071,0.04003308384467196,0.7941006354413119,0.039301289032667205,0.8046337599309421,0.03427704713445447,0.7935212006457071,0.04003308384467196,0.8627865440766413,0.0338222656821332
120,0.7756342020834567,0.05793659369832259,0.7741772561493566,0.06189119048969724,0.7899459096981092,0.05606854295687844,0.7756342020834567,0.05793659369832259,0.8586491956140424,0.0299903880430836
130,0.7850222481072832,0.03590417648274528,0.7855084634753522,0.03327397362346356,0.7979986622485409,0.02384274414741128,0.7850222481072832,0.03590417648274528,0.859351907452554,0.03402378364711034
