Num Features,Test Accuracy mean,Test Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,AUC mean,AUC std,Fold mean,Fold std
3,0.422360248447205,,0.42195856733737486,,0.4218497009787897,,0.422360248447205,,0.4393331275084903,,4.0,
10,0.577639751552795,,0.5755076129888723,,0.5778647943109191,,0.577639751552795,,0.6265822784810127,,4.0,
20,0.6770186335403726,,0.675668711420495,,0.6819329738584397,,0.6770186335403726,,0.6813831429453535,,4.0,
30,0.7142857142857143,,0.7130915524104378,,0.7199372056514914,,0.7142857142857143,,0.774467428218586,,4.0,
40,0.6708074534161491,,0.6701207082928913,,0.6736529551449147,,0.6708074534161491,,0.7736955850571164,,4.0,
50,0.7329192546583851,,0.7329398651260581,,0.7330170232344145,,0.7329192546583851,,0.7987033034887311,,4.0,
60,0.6956521739130435,,0.6953232127422103,,0.697633973710819,,0.6956521739130435,,0.7809509107749305,,4.0,
70,0.7639751552795031,,0.7639751552795031,,0.7639751552795031,,0.7639751552795031,,0.8081197900586602,,4.0,
80,0.7639751552795031,,0.7638840119196327,,0.7640289317307951,,0.7639751552795031,,0.8178450138931769,,4.0,
90,0.7577639751552795,,0.7571072801496975,,0.759338094462667,,0.7577639751552795,,0.8183081197900586,,4.0,
100,0.7701863354037267,,0.7698308205882474,,0.7709677979543047,,0.7701863354037267,,0.8246372337141092,,4.0,
110,0.7763975155279503,,0.7763111691870205,,0.7764647360920653,,0.7763975155279503,,0.8329731398579809,,4.0,
120,0.7639751552795031,,0.7637197171358662,,0.7644104193750302,,0.7639751552795031,,0.8267983945662242,,4.0,
130,0.7763975155279503,,0.7763975155279503,,0.7763975155279503,,0.7763975155279503,,0.8264896573016363,,4.0,
