Test Accuracy,F1 Score,Precision,Recall,AUC,Fold,Num Features
0.5327868852459017,0.5296660909004207,0.527155221827353,0.5327868852459017,0.5063829787234042,5,3
0.5491803278688525,0.5268727951857233,0.5201502732240437,0.5491803278688523,0.5872340425531914,5,10
0.6721311475409836,0.6574370251899241,0.6617380286564298,0.6721311475409836,0.6913475177304964,5,20
0.7295081967213115,0.7246564146140358,0.7248550579768093,0.7295081967213115,0.8249645390070922,5,30
0.6885245901639344,0.6885245901639344,0.6885245901639344,0.6885245901639344,0.764822695035461,5,40
0.7213114754098361,0.7213114754098361,0.7213114754098361,0.7213114754098361,0.8181560283687943,5,50
0.7131147540983607,0.6989190514818238,0.7088456284153005,0.7131147540983607,0.8260992907801418,5,60
0.7295081967213115,0.7208244442999572,0.7250232981742704,0.7295081967213115,0.8678014184397163,5,70
0.7622950819672131,0.750532928370654,0.7654542349726775,0.7622950819672131,0.8853900709219859,5,80
0.7622950819672131,0.7526990264259366,0.7626512229332865,0.7622950819672131,0.8896453900709219,5,90
0.7459016393442623,0.7333283027410439,0.746584699453552,0.7459016393442623,0.8913475177304964,5,100
0.7786885245901639,0.7715836362454195,0.7785720337188122,0.7786885245901639,0.9029787234042554,5,110
0.7213114754098361,0.703238629360286,0.7218585313371871,0.7213114754098361,0.8885106382978724,5,120
0.7868852459016393,0.7791846224473173,0.7886941775014132,0.7868852459016393,0.8953191489361702,5,130
