Fold,Num_Features,Accuracy,F1,Precision,Recall,AUC,Num_Subjects
1,3,0.8723404255319149,0.8289213260762,0.8889916743755781,0.8723404255319149,0.8321428571428572,47
1,10,0.8297872340425532,0.8176786023179382,0.8093211752786221,0.8297872340425532,0.8357142857142856,47
1,20,0.851063829787234,0.8140731469892921,0.8120567375886526,0.851063829787234,0.9107142857142857,47
1,30,0.8723404255319149,0.8498480243161094,0.8536428110896195,0.8723404255319149,0.9357142857142857,47
1,40,0.8936170212765957,0.8671951049923515,0.905437352245863,0.8936170212765957,0.8607142857142857,47
1,50,0.851063829787234,0.8334459695649135,0.8265710044532409,0.851063829787234,0.8892857142857142,47
1,60,0.8085106382978723,0.7858591037263173,0.7695447798119742,0.8085106382978723,0.9142857142857144,47
1,70,0.851063829787234,0.846254874623669,0.8425012973533992,0.851063829787234,0.9249999999999999,47
1,80,0.8723404255319149,0.8498480243161094,0.8536428110896195,0.8723404255319149,0.9607142857142856,47
1,90,0.9148936170212766,0.8998986828774064,0.9226305609284332,0.9148936170212766,0.9678571428571427,47
1,100,0.8936170212765957,0.8810328354035096,0.8835972290945077,0.8936170212765957,0.9571428571428571,47
1,110,0.8936170212765957,0.8810328354035096,0.8835972290945077,0.8936170212765957,0.9607142857142856,47
1,120,0.8936170212765957,0.8810328354035096,0.8835972290945077,0.8936170212765957,0.9678571428571429,47
1,130,0.8936170212765957,0.8671951049923515,0.905437352245863,0.8936170212765957,0.9892857142857143,47
2,3,0.8695652173913043,0.8400621118012424,0.8359683794466403,0.8695652173913043,0.6541666666666666,46
2,10,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.8583333333333334,46
2,20,0.8478260869565217,0.8527158037339654,0.8585762064022934,0.8478260869565217,0.7958333333333334,46
2,30,0.8478260869565217,0.8527158037339654,0.8585762064022934,0.8478260869565217,0.8166666666666667,46
2,40,0.8478260869565217,0.8418484360513345,0.8369034994697774,0.8478260869565217,0.8833333333333333,46
2,50,0.8478260869565217,0.8600790513833992,0.8805327066196631,0.8478260869565217,0.8583333333333334,46
2,60,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.8166666666666667,46
2,70,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.8083333333333333,46
2,80,0.8043478260869565,0.8106346048008127,0.8176461219939481,0.8043478260869565,0.8499999999999999,46
2,90,0.8043478260869565,0.7966622749231446,0.789607635206787,0.8043478260869565,0.8541666666666667,46
2,100,0.8043478260869565,0.7966622749231446,0.789607635206787,0.8043478260869565,0.8541666666666666,46
2,110,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.8333333333333334,46
2,120,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8541666666666667,46
2,130,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8708333333333333,46
3,3,0.8695652173913043,0.8400621118012424,0.8359683794466403,0.8695652173913043,0.6416666666666666,46
3,10,0.8913043478260869,0.855681402995981,0.9033816425120773,0.8913043478260869,0.8708333333333333,46
3,20,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.8916666666666667,46
3,30,0.9782608695652174,0.9774069194359049,0.9787910922587486,0.9782608695652174,0.9291666666666667,46
3,40,0.9782608695652174,0.9774069194359049,0.9787910922587486,0.9782608695652174,0.9083333333333333,46
3,50,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9249999999999999,46
3,60,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9625,46
3,70,0.9347826086956522,0.9322207583077148,0.9314952279957581,0.9347826086956522,0.9875,46
3,80,0.9347826086956522,0.9368782016002709,0.9404363752189838,0.9347826086956522,0.9791666666666667,46
3,90,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9791666666666666,46
3,100,0.9347826086956522,0.9322207583077148,0.9314952279957581,0.9347826086956522,0.9791666666666667,46
3,110,0.9347826086956522,0.9322207583077148,0.9314952279957581,0.9347826086956522,0.975,46
3,120,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9833333333333334,46
3,130,0.9347826086956522,0.9368782016002709,0.9404363752189838,0.9347826086956522,0.9833333333333334,46
4,3,0.8260869565217391,0.813768115942029,0.8053022269353127,0.8260869565217391,0.7619047619047619,46
4,10,0.8478260869565217,0.842936370179078,0.8391304347826087,0.8478260869565217,0.8021978021978021,46
4,20,0.8478260869565217,0.842936370179078,0.8391304347826087,0.8478260869565217,0.8571428571428571,46
4,30,0.9347826086956522,0.9270970575318401,0.9394409937888198,0.9347826086956522,0.8315018315018314,46
4,40,0.8695652173913043,0.8603260869565218,0.8564156945917286,0.8695652173913043,0.8315018315018315,46
4,50,0.8478260869565217,0.842936370179078,0.8391304347826087,0.8478260869565217,0.8534798534798536,46
4,60,0.8695652173913043,0.8603260869565218,0.8564156945917286,0.8695652173913043,0.8388278388278388,46
4,70,0.8478260869565217,0.842936370179078,0.8391304347826087,0.8478260869565217,0.8351648351648351,46
4,80,0.8478260869565217,0.842936370179078,0.8391304347826087,0.8478260869565217,0.8571428571428572,46
4,90,0.8478260869565217,0.8298931342409602,0.8229813664596273,0.8478260869565217,0.8498168498168499,46
4,100,0.8260869565217391,0.813768115942029,0.8053022269353127,0.8260869565217391,0.8644688644688644,46
4,110,0.8260869565217391,0.813768115942029,0.8053022269353127,0.8260869565217391,0.8754578754578755,46
4,120,0.8913043478260869,0.8878116929850556,0.8856884057971015,0.8913043478260869,0.8681318681318682,46
4,130,0.8478260869565217,0.8298931342409602,0.8229813664596273,0.8478260869565217,0.8608058608058609,46
5,3,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.6300366300366301,46
5,10,0.8695652173913043,0.8603260869565218,0.8564156945917286,0.8695652173913043,0.8901098901098901,46
5,20,0.8913043478260869,0.8942217203086767,0.898312356979405,0.8913043478260869,0.9413919413919414,46
5,30,0.8913043478260869,0.8942217203086767,0.898312356979405,0.8913043478260869,0.9523809523809524,46
5,40,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9560439560439561,46
5,50,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.956043956043956,46
5,60,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9633699633699635,46
5,70,0.9347826086956522,0.9326870157910335,0.9322463768115942,0.9347826086956522,0.9597069597069597,46
5,80,0.9347826086956522,0.9365330321852062,0.9396453089244851,0.9347826086956522,0.967032967032967,46
5,90,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.967032967032967,46
5,100,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9706959706959707,46
5,110,0.9347826086956522,0.9365330321852062,0.9396453089244851,0.9347826086956522,0.9560439560439561,46
5,120,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9597069597069596,46
5,130,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.956043956043956,46
