model,metric,Source,SS,df,MS,F,p,significant
RF_CFS,accuracy,Between Groups,0.12561562840588614,3,0.04187187613529538,26.12061121092343,2.102039019291624e-06,True
RF_CFS,accuracy,Within Groups,0.025648328546177296,16,0.001603020534136081,,,
RF_CFS,accuracy,Total,0.15126395695206343,19,,,,
RF_CFS,f1,Between Groups,0.15240387479506184,3,0.05080129159835395,22.62954193980333,5.327397059717853e-06,True
RF_CFS,f1,Within Groups,0.03591856466807154,16,0.0022449102917544714,,,
RF_CFS,f1,Total,0.18832243946313337,19,,,,
RF_CFS,precision,Between Groups,0.16611449880694742,3,0.055371499602315806,19.994295987721102,1.163439357632079e-05,True
RF_CFS,precision,Within Groups,0.044309836874533055,16,0.002769364804658316,,,
RF_CFS,precision,Total,0.21042433568148047,19,,,,
RF_CFS,recall,Between Groups,0.12561562840588614,3,0.04187187613529538,26.12061121092343,2.102039019291624e-06,True
RF_CFS,recall,Within Groups,0.025648328546177296,16,0.001603020534136081,,,
RF_CFS,recall,Total,0.15126395695206343,19,,,,
RF_CFS,auc,Between Groups,0.14089338210882965,3,0.04696446070294322,13.241742281534833,0.00013305426083243255,True
RF_CFS,auc,Within Groups,0.05674716780245281,16,0.0035466979876533004,,,
RF_CFS,auc,Total,0.19764054991128246,19,,,,
RF_PCA,accuracy,Between Groups,0.042853629331129545,3,0.014284543110376515,16.717128704124622,3.464033893219032e-05,True
RF_PCA,accuracy,Within Groups,0.013671767072633314,16,0.0008544854420395821,,,
RF_PCA,accuracy,Total,0.05652539640376286,19,,,,
RF_PCA,f1,Between Groups,0.04795373247920959,3,0.015984577493069863,16.00441263625584,4.484721048814144e-05,True
RF_PCA,f1,Within Groups,0.015980170325635278,16,0.0009987606453522048,,,
RF_PCA,f1,Total,0.06393390280484487,19,,,,
RF_PCA,precision,Between Groups,0.051244301570730386,3,0.01708143385691013,14.979684513169719,6.600382624633028e-05,True
RF_PCA,precision,Within Groups,0.018244906391071306,16,0.0011403066494419566,,,
RF_PCA,precision,Total,0.06948920796180169,19,,,,
RF_PCA,recall,Between Groups,0.042853629331129545,3,0.014284543110376515,16.717128704124622,3.464033893219032e-05,True
RF_PCA,recall,Within Groups,0.013671767072633314,16,0.0008544854420395821,,,
RF_PCA,recall,Total,0.05652539640376286,19,,,,
RF_PCA,auc,Between Groups,0.03037782805461462,3,0.01012594268487154,5.618991731288164,0.007942538747463201,True
RF_PCA,auc,Within Groups,0.028833479511243633,16,0.001802092469452727,,,
RF_PCA,auc,Total,0.059211307565858254,19,,,,
xgboost_CFS,accuracy,Between Groups,0.14438492152287874,3,0.048128307174292916,15.656252589284376,5.103395036754055e-05,True
xgboost_CFS,accuracy,Within Groups,0.0491850083790635,16,0.0030740630236914686,,,
xgboost_CFS,accuracy,Total,0.19356992990194224,19,,,,
xgboost_CFS,f1,Between Groups,0.16465293359815575,3,0.05488431119938525,15.081517962933441,6.346367834908495e-05,True
xgboost_CFS,f1,Within Groups,0.05822682977591726,16,0.003639176860994829,,,
xgboost_CFS,f1,Total,0.222879763374073,19,,,,
xgboost_CFS,precision,Between Groups,0.17137710611031506,3,0.05712570203677169,13.462158046048152,0.00012131578419094513,True
xgboost_CFS,precision,Within Groups,0.06789485233065268,16,0.004243428270665792,,,
xgboost_CFS,precision,Total,0.23927195844096774,19,,,,
xgboost_CFS,recall,Between Groups,0.14438492152287874,3,0.048128307174292916,15.656252589284376,5.103395036754055e-05,True
xgboost_CFS,recall,Within Groups,0.0491850083790635,16,0.0030740630236914686,,,
xgboost_CFS,recall,Total,0.19356992990194224,19,,,,
xgboost_CFS,auc,Between Groups,0.20494439821261648,3,0.0683147994042055,6.992563194771966,0.0032159433369098878,True
xgboost_CFS,auc,Within Groups,0.15631418122677873,16,0.00976963632667367,,,
xgboost_CFS,auc,Total,0.3612585794393952,19,,,,
xgboost_PCA,accuracy,Between Groups,0.043206289500208404,3,0.014402096500069468,10.852180545402673,0.0003900791898734379,True
xgboost_PCA,accuracy,Within Groups,0.021233847247291736,16,0.0013271154529557335,,,
xgboost_PCA,accuracy,Total,0.06444013674750014,19,,,,
xgboost_PCA,f1,Between Groups,0.04762554138099648,3,0.01587518046033216,13.130813739092194,0.00013944108261443322,True
xgboost_PCA,f1,Within Groups,0.019344032472954353,16,0.001209002029559647,,,
xgboost_PCA,f1,Total,0.06696957385395083,19,,,,
xgboost_PCA,precision,Between Groups,0.051074129923651276,3,0.017024709974550425,14.789003265483839,7.107364306713215e-05,True
xgboost_PCA,precision,Within Groups,0.018418777432320427,16,0.0011511735895200267,,,
xgboost_PCA,precision,Total,0.0694929073559717,19,,,,
xgboost_PCA,recall,Between Groups,0.043206289500208404,3,0.014402096500069468,10.852180545402673,0.0003900791898734379,True
xgboost_PCA,recall,Within Groups,0.021233847247291736,16,0.0013271154529557335,,,
xgboost_PCA,recall,Total,0.06444013674750014,19,,,,
xgboost_PCA,auc,Between Groups,0.04178462231149967,3,0.013928207437166556,5.48941914415507,0.008695590141664766,True
xgboost_PCA,auc,Within Groups,0.0405965208963773,16,0.0025372825560235814,,,
xgboost_PCA,auc,Total,0.08238114320787697,19,,,,
