factor,F_value,p_value,significant,effect_size,metric
Model Type,0.012267776351244805,0.9120911727080272,False,0.00015725445113857502,accuracy
Feature Selection,6.63743606438015,0.011873455372174204,True,0.07842198881510667,accuracy
Breathing Type,47.31583379953708,2.3441173203921993e-17,True,0.6512921712233766,accuracy
Model × Feature,2.1842695853482574,0.09676563726251858,False,,accuracy
Model × Breathing,19.29360800040409,2.8652701908409723e-14,True,,accuracy
Feature × Breathing,36.653942704564194,2.6622710876550423e-21,True,,accuracy
Model Type,0.015881630265528007,0.9000385146202639,False,0.00020356919557476397,f1
Feature Selection,7.741524314964773,0.006765374391457687,True,0.0902890912753881,f1
Breathing Type,44.11851559160616,1.2810056793878105e-16,True,0.635238892477687,f1
Model × Feature,2.535759814877038,0.06300330258221461,False,,f1
Model × Breathing,17.985837019290575,1.3746365468641507e-13,True,,f1
Feature × Breathing,36.70788159646735,2.556431759741445e-21,True,,f1
Model Type,0.05059479615895307,0.8226197363551966,False,0.0006482307571273203,precision
Feature Selection,7.7279563586346445,0.006811703337257549,True,0.09014511352989116,precision
Breathing Type,41.82565721712497,4.544122975277036e-16,True,0.6227856743275545,precision
Model × Feature,2.5480600958739976,0.06206347183923843,False,,precision
Model × Breathing,17.081611685008006,4.2324527288944244e-13,True,,precision
Feature × Breathing,34.04313621171169,2.0068525393805555e-20,True,,precision
Model Type,0.012267776351244805,0.9120911727080272,False,0.00015725445113857502,recall
Feature Selection,6.63743606438015,0.011873455372174204,True,0.07842198881510667,recall
Breathing Type,47.31583379953708,2.3441173203921993e-17,True,0.6512921712233766,recall
Model × Feature,2.1842695853482574,0.09676563726251858,False,,recall
Model × Breathing,19.29360800040409,2.8652701908409723e-14,True,,recall
Feature × Breathing,36.653942704564194,2.6622710876550423e-21,True,,recall
